Metadata_Count_Cells
Cells_AreaShape_Solidity
Cells_AreaShape_Zernike_1_1
Cells_AreaShape_Zernike_2_0
Cells_AreaShape_Zernike_2_2
Cells_AreaShape_Zernike_3_1
Cells_AreaShape_Zernike_3_3
Cells_AreaShape_Zernike_4_0
Cells_AreaShape_Zernike_4_2
Cells_AreaShape_Zernike_4_4
Cells_AreaShape_Zernike_5_1
Cells_AreaShape_Zernike_5_3
Cells_AreaShape_Zernike_6_0
Cells_AreaShape_Zernike_6_2
Cells_AreaShape_Zernike_6_4
Cells_AreaShape_Zernike_7_1
Cells_AreaShape_Zernike_7_3
Cells_AreaShape_Zernike_7_5
Cells_AreaShape_Zernike_7_7
Cells_AreaShape_Zernike_8_0
Cells_AreaShape_Zernike_8_2
Cells_AreaShape_Zernike_8_4
Cells_AreaShape_Zernike_8_6
Cells_AreaShape_Zernike_9_1
Cells_AreaShape_Zernike_9_3
Cells_AreaShape_Zernike_9_5
Cells_Correlation_Correlation_BrightField_DNA
Cells_Correlation_Correlation_BrightField_RNA
Cells_Correlation_K_AGP_RNA
Cells_Correlation_K_DNA_ER
Cells_Correlation_K_DNA_Mito
Cells_Correlation_K_ER_DNA
Cells_Correlation_K_Mito_AGP
Cells_Correlation_K_Mito_DNA
Cells_Correlation_Manders_ER_DNA
Cells_Correlation_Overlap_AGP_DNA
Cells_Correlation_Overlap_AGP_ER
Cells_Correlation_Overlap_AGP_Mito
Cells_Correlation_Overlap_AGP_RNA
Cells_Correlation_Overlap_BrightField_DNA
Cells_Correlation_Overlap_DNA_ER
Cells_Correlation_Overlap_DNA_Mito
Cells_Correlation_Overlap_DNA_RNA
Cells_Correlation_Overlap_ER_Mito
Cells_Correlation_RWC_AGP_ER
Cells_Correlation_RWC_AGP_RNA
Cells_Correlation_RWC_BrightField_DNA
Cells_Correlation_RWC_DNA_AGP
Cells_Correlation_RWC_DNA_BrightField
Cells_Correlation_RWC_DNA_Mito
Cells_Correlation_RWC_ER_BrightField
Cells_Correlation_RWC_Mito_BrightField
Cells_Correlation_RWC_Mito_ER
Cells_Correlation_RWC_Mito_RNA
Cells_Correlation_RWC_RNA_ER
Cells_Granularity_1_DNA
Cells_Granularity_3_BrightField
Cells_Granularity_3_DNA
Cells_Granularity_6_RNA
Cells_Intensity_IntegratedIntensityEdge_AGP
Cells_Intensity_IntegratedIntensityEdge_DNA
Cells_Intensity_IntegratedIntensityEdge_Mito
Cells_Intensity_IntegratedIntensity_DNA
Cells_Intensity_IntegratedIntensity_RNA
Cells_Intensity_MassDisplacement_BrightField
Cells_Intensity_MassDisplacement_DNA
Cells_Intensity_MassDisplacement_RNA
Cells_Intensity_MaxIntensityEdge_DNA
Cells_Intensity_MaxIntensityEdge_Mito
Cells_Intensity_StdIntensityEdge_BrightField
Cells_Intensity_StdIntensityEdge_ER
Cells_Intensity_UpperQuartileIntensity_DNA
Cells_Neighbors_FirstClosestDistance_Adjacent
Cells_RadialDistribution_FracAtD_BrightField_3of4
Cells_RadialDistribution_FracAtD_BrightField_4of4
Cells_RadialDistribution_FracAtD_DNA_1of4
Cells_RadialDistribution_FracAtD_DNA_3of4
Cells_RadialDistribution_MeanFrac_BrightField_1of4
Cells_RadialDistribution_MeanFrac_BrightField_3of4
Cells_RadialDistribution_MeanFrac_DNA_1of4
Cells_RadialDistribution_MeanFrac_DNA_3of4
Cells_RadialDistribution_MeanFrac_DNA_4of4
Cells_RadialDistribution_RadialCV_AGP_1of4
Cells_RadialDistribution_RadialCV_AGP_2of4
Cells_RadialDistribution_RadialCV_DNA_1of4
Cells_RadialDistribution_RadialCV_DNA_4of4
Cells_RadialDistribution_RadialCV_ER_1of4
Cells_RadialDistribution_RadialCV_Mito_1of4
Cells_RadialDistribution_RadialCV_RNA_1of4
Cells_Texture_AngularSecondMoment_DNA_5_02_256
Cells_Texture_Contrast_DNA_20_02_256
Cells_Texture_Correlation_BrightField_10_00_256
Cells_Texture_Correlation_BrightField_10_01_256
Cells_Texture_Correlation_BrightField_10_02_256
Cells_Texture_Correlation_BrightField_10_03_256
Cells_Texture_Correlation_BrightField_5_00_256
Cells_Texture_Correlation_BrightField_5_01_256
Cells_Texture_Correlation_BrightField_5_02_256
Cells_Texture_Correlation_BrightField_5_03_256
Cells_Texture_Correlation_DNA_20_00_256
Cells_Texture_Correlation_DNA_5_02_256
Cells_Texture_Correlation_Mito_20_02_256
Cells_Texture_Correlation_Mito_20_03_256
Cells_Texture_Correlation_Mito_5_03_256
Cells_Texture_Correlation_RNA_20_01_256
Cells_Texture_Correlation_RNA_20_03_256
Cells_Texture_DifferenceEntropy_BrightField_20_02_256
Cells_Texture_DifferenceEntropy_DNA_20_02_256
Cells_Texture_InfoMeas1_AGP_20_01_256
